"Date","Time","Test Total Time",,
"01/18/25","12:04:47","(hh:mm:ss): 1:45:57",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"18.00 Ah","13.24 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"7.500 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Battery_Y","0.000","13.962","0.000","999.90"
"Battery_Y","1.000","13.333","7.500","999.90"
"Battery_Y","2.000","13.286","7.500","999.90"
"Battery_Y","3.000","13.239","7.500","999.90"
"Battery_Y","4.000","13.192","7.500","999.90"
"Battery_Y","5.000","13.145","7.500","999.90"
"Battery_Y","6.000","13.102","7.500","999.90"
"Battery_Y","7.000","13.055","7.500","999.90"
"Battery_Y","8.000","13.011","7.500","999.90"
"Battery_Y","9.000","12.988","7.500","999.90"
"Battery_Y","10.000","12.944","7.500","999.90"
"Battery_Y","11.000","12.901","7.500","999.90"
"Battery_Y","12.000","12.858","7.500","999.90"
"Battery_Y","13.000","12.815","7.500","999.90"
"Battery_Y","14.000","12.772","7.500","999.90"
"Battery_Y","15.000","12.728","7.500","999.90"
"Battery_Y","16.000","12.689","7.500","999.90"
"Battery_Y","17.000","12.654","7.500","999.90"
"Battery_Y","18.000","12.618","7.500","999.90"
"Battery_Y","19.000","12.587","7.500","999.90"
"Battery_Y","20.000","12.556","7.500","999.90"
"Battery_Y","21.000","12.540","7.500","999.90"
"Battery_Y","22.000","12.512","7.500","999.90"
"Battery_Y","23.000","12.485","7.500","999.90"
"Battery_Y","24.000","12.461","7.500","999.90"
"Battery_Y","25.000","12.438","7.500","999.90"
"Battery_Y","26.000","12.422","7.500","999.90"
"Battery_Y","27.000","12.402","7.500","999.90"
"Battery_Y","28.000","12.387","7.500","999.90"
"Battery_Y","29.000","12.375","7.500","999.90"
"Battery_Y","30.000","12.359","7.500","999.90"
"Battery_Y","31.000","12.347","7.500","999.90"
"Battery_Y","32.000","12.343","7.500","999.90"
"Battery_Y","33.000","12.332","7.500","999.90"
"Battery_Y","34.000","12.324","7.500","999.90"
"Battery_Y","35.000","12.316","7.500","999.90"
"Battery_Y","36.000","12.308","7.500","999.90"
"Battery_Y","37.000","12.304","7.500","999.90"
"Battery_Y","38.000","12.296","7.500","999.90"
"Battery_Y","39.000","12.296","7.500","999.90"
"Battery_Y","40.000","12.288","7.500","999.90"
"Battery_Y","41.000","12.288","7.500","999.90"
"Battery_Y","42.000","12.288","7.500","999.90"
"Battery_Y","43.000","12.288","7.500","999.90"
"Battery_Y","44.000","12.288","7.500","999.90"
"Battery_Y","45.000","12.288","7.500","999.90"
"Battery_Y","46.000","12.288","7.500","999.90"
"Battery_Y","47.000","12.284","7.500","999.90"
"Battery_Y","48.000","12.288","7.500","999.90"
"Battery_Y","49.000","12.292","7.500","999.90"
"Battery_Y","50.000","12.296","7.500","999.90"
"Battery_Y","51.000","12.296","7.500","999.90"
"Battery_Y","52.000","12.304","7.500","999.90"
"Battery_Y","53.000","12.304","7.500","999.90"
"Battery_Y","54.000","12.304","7.500","999.90"
"Battery_Y","55.000","12.312","7.500","999.90"
"Battery_Y","56.000","12.312","7.500","999.90"
"Battery_Y","57.000","12.312","7.500","999.90"
"Battery_Y","58.000","12.316","7.500","999.90"
"Battery_Y","59.000","12.320","7.500","999.90"
"Battery_Y","60.000","12.320","7.500","999.90"
"Battery_Y","61.000","12.324","7.500","999.90"
"Battery_Y","62.000","12.328","7.500","999.90"
"Battery_Y","63.000","12.328","7.500","999.90"
"Battery_Y","64.000","12.328","7.500","999.90"
"Battery_Y","65.000","12.336","7.500","999.90"
"Battery_Y","66.000","12.336","7.500","999.90"
"Battery_Y","67.000","12.336","7.500","999.90"
"Battery_Y","68.000","12.336","7.500","999.90"
"Battery_Y","69.000","12.340","7.500","999.90"
"Battery_Y","70.000","12.340","7.500","999.90"
"Battery_Y","71.000","12.343","7.500","999.90"
"Battery_Y","72.000","12.343","7.500","999.90"
"Battery_Y","73.000","12.343","7.500","999.90"
"Battery_Y","74.000","12.343","7.500","999.90"
"Battery_Y","75.000","12.351","7.500","999.90"
"Battery_Y","76.000","12.351","7.500","999.90"
"Battery_Y","77.000","12.351","7.500","999.90"
"Battery_Y","78.000","12.351","7.500","999.90"
"Battery_Y","79.000","12.351","7.500","999.90"
"Battery_Y","80.000","12.355","7.500","999.90"
"Battery_Y","81.000","12.359","7.500","999.90"
"Battery_Y","82.000","12.359","7.500","999.90"
"Battery_Y","83.000","12.359","7.500","999.90"
"Battery_Y","84.000","12.359","7.500","999.90"
"Battery_Y","85.000","12.359","7.500","999.90"
"Battery_Y","86.000","12.359","7.500","999.90"
"Battery_Y","87.000","12.359","7.500","999.90"
"Battery_Y","88.000","12.363","7.500","999.90"
"Battery_Y","89.000","12.367","7.500","999.90"
"Battery_Y","90.000","12.367","7.500","999.90"
"Battery_Y","91.000","12.367","7.500","999.90"
"Battery_Y","92.000","12.367","7.500","999.90"
"Battery_Y","93.000","12.367","7.500","999.90"
"Battery_Y","94.000","12.367","7.500","999.90"
"Battery_Y","95.000","12.367","7.500","999.90"
"Battery_Y","96.000","12.367","7.500","999.90"
"Battery_Y","97.000","12.371","7.500","999.90"
"Battery_Y","98.000","12.375","7.500","999.90"
"Battery_Y","99.000","12.375","7.500","999.90"
"Battery_Y","100.000","12.375","7.500","999.90"
"Battery_Y","101.000","12.375","7.500","999.90"
"Battery_Y","102.000","12.375","7.500","999.90"
"Battery_Y","103.000","12.375","7.500","999.90"
"Battery_Y","104.000","12.375","7.500","999.90"
"Battery_Y","105.000","12.379","7.500","999.90"
"Battery_Y","106.000","12.383","7.500","999.90"
"Battery_Y","107.000","12.383","7.500","999.90"
"Battery_Y","108.000","12.383","7.500","999.90"
"Battery_Y","109.000","12.383","7.500","999.90"
"Battery_Y","110.000","12.383","7.500","999.90"
"Battery_Y","111.000","12.383","7.500","999.90"
"Battery_Y","112.000","12.383","7.500","999.90"
"Battery_Y","113.000","12.383","7.500","999.90"
"Battery_Y","114.000","12.383","7.500","999.90"
"Battery_Y","115.000","12.383","7.500","999.90"
"Battery_Y","116.000","12.383","7.500","999.90"
"Battery_Y","117.000","12.387","7.500","999.90"
"Battery_Y","118.000","12.391","7.500","999.90"
"Battery_Y","119.000","12.391","7.500","999.90"
"Battery_Y","120.000","12.391","7.500","999.90"
"Battery_Y","121.000","12.391","7.500","999.90"
"Battery_Y","122.000","12.391","7.500","999.90"
"Battery_Y","123.000","12.391","7.500","999.90"
"Battery_Y","124.000","12.391","7.500","999.90"
"Battery_Y","125.000","12.391","7.500","999.90"
"Battery_Y","126.000","12.391","7.500","999.90"
"Battery_Y","127.000","12.391","7.500","999.90"
"Battery_Y","128.000","12.391","7.500","999.90"
"Battery_Y","129.000","12.391","7.500","999.90"
"Battery_Y","130.000","12.395","7.500","999.90"
"Battery_Y","131.000","12.395","7.500","999.90"
"Battery_Y","132.000","12.398","7.500","999.90"
"Battery_Y","133.000","12.398","7.500","999.90"
"Battery_Y","134.000","12.398","7.500","999.90"
"Battery_Y","135.000","12.398","7.500","999.90"
"Battery_Y","136.000","12.398","7.500","999.90"
"Battery_Y","137.000","12.398","7.500","999.90"
"Battery_Y","138.000","12.398","7.500","999.90"
"Battery_Y","139.000","12.398","7.500","999.90"
"Battery_Y","140.000","12.398","7.500","999.90"
"Battery_Y","141.000","12.398","7.500","999.90"
"Battery_Y","142.000","12.398","7.500","999.90"
"Battery_Y","143.000","12.398","7.500","999.90"
"Battery_Y","144.000","12.398","7.500","999.90"
"Battery_Y","145.000","12.402","7.500","999.90"
"Battery_Y","146.000","12.402","7.500","999.90"
"Battery_Y","147.000","12.406","7.500","999.90"
"Battery_Y","148.000","12.406","7.500","999.90"
"Battery_Y","149.000","12.406","7.500","999.90"
"Battery_Y","150.000","12.406","7.500","999.90"
"Battery_Y","151.000","12.406","7.500","999.90"
"Battery_Y","152.000","12.406","7.500","999.90"
"Battery_Y","153.000","12.406","7.500","999.90"
"Battery_Y","154.000","12.406","7.500","999.90"
"Battery_Y","155.000","12.406","7.500","999.90"
"Battery_Y","156.000","12.406","7.500","999.90"
"Battery_Y","157.000","12.406","7.500","999.90"
"Battery_Y","158.000","12.406","7.500","999.90"
"Battery_Y","159.000","12.406","7.500","999.90"
"Battery_Y","160.000","12.406","7.500","999.90"
"Battery_Y","161.000","12.406","7.500","999.90"
"Battery_Y","162.000","12.406","7.500","999.90"
"Battery_Y","163.000","12.406","7.500","999.90"
"Battery_Y","164.000","12.406","7.500","999.90"
"Battery_Y","165.000","12.410","7.500","999.90"
"Battery_Y","166.000","12.410","7.500","999.90"
"Battery_Y","167.000","12.414","7.500","999.90"
"Battery_Y","168.000","12.414","7.500","999.90"
"Battery_Y","169.000","12.414","7.500","999.90"
